trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
4,4,1,41,30,36,37,39,38,40,34,35,39,30
28,8,1,46,45,39,45,42,46,45,46,44,48,42
52,12,1,44,50,42,49,43,47,44,41,45,46,52
76,16,1,62,60,58,61,58,60,61,60,62,61,64
100,20,1,64,63,45,65,44,63,56,62,48,63,63
124,24,1,43,33,40,47,39,41,38,45,37,41,35
148,28,1,28,17,22,27,22,23,21,22,20,22,17
172,32,1,22,21,19,22,24,26,20,25,21,26,19
196,36,1,31,27,31,32,31,30,30,30,30,30,27
220,40,1,20,14,12,24,11,23,16,21,14,21,10
244,44,1,15,3,10,12,10,9,10,9,7,7,1
268,48,1,32,33,31,31,31,30,32,31,32,31,36
292,52,1,28,39,35,28,35,40,30,26,30,35,36
316,56,1,32,26,27,31,25,30,29,26,28,27,26
340,60,1,42,42,34,39,35,43,34,39,32,42,41
364,64,1,23,20,15,25,13,29,20,22,20,27,18
388,68,1,27,16,22,21,22,24,21,23,20,23,14
412,72,1,35,36,32,36,32,38,34,36,32,38,35
436,76,1,30,26,26,32,25,34,27,30,27,32,24
460,80,1,26,15,21,24,21,21,21,22,22,19,16
484,84,1,22,17,20,22,20,21,17,17,16,18,15
508,88,1,27,25,24,28,23,26,25,27,24,23,29
532,92,1,27,21,20,32,18,32,23,30,21,30,18
556,96,1,30,25,17,35,17,31,27,32,23,29,26
580,100,1,21,14,14,23,13,23,19,21,18,22,13
604,104,1,25,19,18,26,19,18,17,19,17,18,18
628,108,1,36,28,31,31,31,26,23,26,23,26,24
652,112,1,31,22,28,32,27,26,22,28,22,26,22
676,116,1,29,29,20,31,20,32,21,61,24,40,28
700,120,1,31,26,26,40,26,34,30,55,29,38,32
724,124,1,22,11,16,22,16,21,13,20,17,21,12
748,4,2,23,9,17,22,17,19,19,10,14,17,6
772,8,2,24,17,17,19,17,25,20,8,15,20,9
796,12,2,38,34,27,37,29,34,31,24,31,32,34
820,16,2,38,31,32,35,34,34,30,35,30,34,34
844,20,2,30,24,26,26,30,28,24,25,22,27,19
868,24,2,42,33,34,42,35,34,31,37,31,33,35
892,28,2,43,35,39,53,38,41,36,45,34,40,35
916,32,2,33,28,29,34,30,33,30,34,31,32,27
940,36,2,28,19,24,29,25,27,27,26,28,26,19
964,40,2,44,36,40,43,40,39,39,42,37,39,37
988,44,2,40,36,34,44,39,42,36,44,35,41,36
1012,48,2,34,31,29,38,31,36,35,37,32,36,30
1036,52,2,33,32,32,32,33,33,30,30,29,32,34
1060,56,2,35,37,33,40,34,41,39,39,41,39,37
1084,60,2,33,28,29,42,29,37,31,36,32,34,27
1108,64,2,29,19,23,30,23,27,24,29,21,27,17
1132,68,2,29,25,18,29,19,26,21,27,20,24,23
1156,72,2,35,21,31,34,31,27,29,33,28,26,20
1180,76,2,33,37,30,30,33,38,33,35,33,38,35
1204,80,2,41,30,30,35,32,35,35,34,34,33,30
1228,84,2,55,51,51,56,52,54,55,58,53,56,51
1252,88,2,40,29,39,36,39,32,30,29,31,30,35
1276,92,2,31,25,31,28,33,31,29,28,26,28,23
1300,96,2,38,34,35,42,37,40,37,42,35,38,37
1324,100,2,37,28,31,37,30,33,32,36,32,34,33
1348,104,2,32,28,27,32,28,32,29,33,29,32,25
1372,108,2,37,32,33,38,34,37,35,38,34,37,31
1396,112,2,34,21,30,33,32,30,28,30,30,28,22
1420,116,2,33,25,29,28,35,29,29,27,27,27,23
1444,4,3,47,37,33,37,35,41,39,34,34,37,31
1468,8,3,61,53,57,60,57,56,57,60,55,57,54
1492,12,3,51,40,45,56,51,52,47,53,44,50,38
1516,16,3,54,54,49,50,51,55,56,54,56,56,53
1540,20,3,47,51,46,53,46,59,50,54,48,57,48
1564,24,3,68,65,66,70,67,70,71,72,70,71,61
1588,28,3,48,44,46,46,46,48,42,41,38,45,38
1612,32,3,43,39,41,40,42,44,39,37,40,43,38
1636,36,3,38,33,32,34,37,36,29,33,28,35,31
