trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
18,18,1,46,52,48,51,47,53,51,53,48,53,53
42,36,1,53,54,47,54,46,58,52,52,53,56,56
66,54,1,65,65,64,68,61,66,68,68,69,67,70
90,72,1,68,65,61,71,56,67,70,70,66,69,65
114,90,1,66,50,51,70,47,60,54,62,49,60,50
138,108,1,39,28,36,44,38,39,40,43,35,40,26
162,126,1,30,26,28,32,28,32,30,30,31,32,25
186,144,1,34,32,32,37,31,34,36,37,34,33,33
210,162,1,31,28,29,32,26,31,30,32,29,31,28
234,180,1,20,20,17,23,16,24,19,22,19,24,18
258,198,1,28,31,26,29,26,30,29,29,30,30,33
282,216,1,49,47,47,54,46,54,54,54,51,55,44
306,234,1,52,45,47,56,44,55,51,56,48,55,42
330,252,1,34,40,26,41,24,43,38,41,38,43,38
354,270,1,29,33,25,37,24,41,37,41,36,42,31
378,288,1,30,31,27,36,26,37,32,35,31,37,27
402,306,1,34,37,35,43,33,43,38,41,36,43,34
426,324,1,42,42,38,51,37,50,39,57,37,51,40
450,342,1,32,26,29,37,27,35,32,36,31,35,25
474,360,1,30,26,29,34,27,33,29,32,29,33,25
498,378,1,30,29,28,35,27,35,31,34,30,34,28
522,396,1,48,39,43,53,41,50,48,51,44,49,37
546,414,1,29,29,21,35,20,36,30,34,30,35,28
570,432,1,27,36,22,33,22,50,27,30,29,43,32
594,450,1,21,17,19,20,19,17,20,19,19,18,17
618,468,1,36,28,31,31,30,24,22,26,21,23,25
642,486,1,38,30,36,33,35,31,28,30,29,31,27
666,504,1,32,30,28,35,28,35,33,35,32,36,30
690,522,1,45,39,36,47,35,46,44,58,44,49,39
714,540,1,29,24,27,34,26,36,30,36,31,35,24
738,558,1,29,28,24,35,23,34,31,24,31,32,27
762,18,2,29,36,31,37,31,38,34,26,34,35,33
786,36,2,37,40,36,41,33,42,38,31,36,39,38
810,54,2,43,44,43,48,43,47,41,58,41,50,41
834,72,2,40,41,40,48,40,48,43,48,43,48,37
858,90,2,37,33,36,41,34,39,37,42,35,38,34
882,108,2,49,37,39,52,40,38,35,41,34,37,37
906,126,2,44,33,43,50,42,42,44,48,41,42,34
930,144,2,35,37,33,42,33,42,40,44,39,43,35
954,162,2,46,41,44,46,45,43,48,49,46,45,43
978,180,2,48,45,49,53,49,52,53,54,51,53,45
1002,198,2,40,42,41,50,40,47,46,51,45,48,41
1026,216,2,38,40,40,39,40,39,42,42,42,41,43
1050,234,2,49,46,47,54,45,52,52,54,50,53,44
1074,252,2,49,46,48,52,48,50,50,53,48,51,45
1098,270,2,37,37,34,38,32,40,37,41,35,42,35
1122,288,2,31,35,33,35,32,34,34,36,32,35,34
1146,306,2,35,37,34,35,34,34,34,35,36,35,37
1170,324,2,43,45,42,48,42,48,46,50,45,50,44
1194,342,2,56,58,54,61,53,60,59,62,60,60,60
1218,360,2,58,63,49,65,48,65,67,67,64,65,62
1242,378,2,56,43,53,58,49,53,54,58,51,54,43
1266,396,2,45,45,46,53,46,53,48,53,46,52,43
1290,414,2,43,48,45,50,44,49,48,51,46,50,48
1314,432,2,45,43,45,52,42,52,44,52,41,50,40
1338,450,2,41,44,42,45,42,47,43,47,43,47,42
1362,468,2,37,37,37,38,38,38,39,40,37,38,38
1386,486,2,44,50,45,45,44,50,48,51,47,51,48
1410,504,2,46,58,55,56,54,59,57,59,57,59,56
1434,522,2,63,61,62,64,63,64,66,68,64,66,62
1458,18,3,64,65,60,70,61,67,70,71,68,68,67
1482,36,3,65,62,65,63,66,61,66,65,67,62,68
1506,54,3,63,62,62,67,62,69,66,71,65,69,63
1530,72,3,64,72,61,80,57,78,67,79,61,78,69
1554,90,3,76,73,68,79,70,75,77,80,75,77,75
1578,108,3,64,61,65,66,65,69,71,71,66,71,59
1602,126,3,53,57,52,62,51,65,63,65,61,65,57
1626,144,3,47,40,47,50,44,47,47,50,44,48,41
