load (MW),Change1
1204.583334,1255.88
1420.5,1307.18
1180.166667,1096.06
1220.166667,1051.16
1155.416667,1029.74
1542.166667,1356.97
1841.25,1720.65
1923.416667,1730.15
2056.833334,2203.83
1932.75,1998.69
1851.25,1862.69
1269.666667,1191.84
1219.25,1278.72
1315.5,1272.20
1430.083334,1632.80
1596,1383.59
1610.25,1550.22
1622.333334,1831.05
1726.416667,1732.26
1711.166667,1857.47
2064.5,2269.78
1416.083334,1240.78
1691.333334,1581.79
1526.166667,1468.96
2777.75,2568.88
2608.833334,2637.73
2191.083334,1912.90
1938.166667,1661.58
1513.75,1339.00
1534.583334,1400.91
1936.5,2124.59
1592.5,1794.16
1512.583334,1589.90
1570.75,1596.53
1243.416667,1075.75
1714.833334,1948.45
2096.583334,2388.60
1635.416667,1630.74
1557.083334,1676.53
1601.583334,1395.46
1286.666667,1475.63
1347.416667,1215.84
1663.5,1520.78
1175.166667,1347.02
1555.916667,1635.34
1662.25,1886.87
1619.583334,1440.46
1786.5,1760.22
1298.5,1157.56
1129.083334,1268.80
1080.75,968.16
1306.666667,1349.12
1323.833334,1384.07
1283.5,1214.18
1285.25,1135.85
1179.166667,1058.44
1822.416667,1815.47
1246.166667,1122.78
1219.916667,1077.00
1170.833334,1280.42
1065,1156.59
1093.833334,1131.11
983.9166665,917.47
1000.583334,1011.61
1002.25,944.35
1182.666667,1225.69
1107.166667,961.60
1376.5,1338.31
