trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
1,1,1,46,38,44,45,42,44,45,43,41,42,36
25,2,1,43,45,32,42,36,46,41,45,40,47,40
49,3,1,45,47,41,48,41,47,45,47,45,48,50
73,4,1,63,61,57,62,58,61,63,61,61,62,62
97,5,1,64,63,47,66,46,64,56,64,48,64,62
121,6,1,47,33,43,50,42,45,42,50,41,45,37
145,7,1,30,18,25,30,24,25,25,28,24,25,18
169,8,1,29,22,21,25,23,25,21,21,24,25,19
193,9,1,33,28,31,30,31,30,30,30,31,30,29
217,10,1,24,21,16,29,15,27,21,27,18,26,17
241,11,1,18,5,10,14,12,13,11,12,9,11,3
265,12,1,28,34,29,28,30,28,29,28,29,29,35
289,13,1,34,48,40,31,42,43,36,30,38,39,39
313,14,1,36,33,31,37,30,38,34,31,33,36,31
337,15,1,39,38,32,36,33,37,32,35,33,38,38
361,16,1,28,24,20,23,17,33,25,26,26,31,22
385,17,1,29,21,22,23,22,25,20,20,22,23,18
409,18,1,38,34,29,37,29,36,33,36,32,36,34
433,19,1,35,29,30,36,30,37,31,33,31,36,28
457,20,1,26,19,22,27,22,25,22,27,21,25,18
481,21,1,26,20,22,25,22,25,21,23,19,23,16
505,22,1,21,21,16,28,19,25,21,21,19,21,26
529,23,1,33,26,27,35,25,37,31,29,30,35,24
553,24,1,27,27,17,32,17,31,28,32,25,33,28
577,25,1,23,20,16,25,17,25,20,25,20,25,17
601,26,1,23,17,17,27,18,17,16,19,17,17,18
625,27,1,36,29,31,31,30,26,23,27,23,26,24
649,28,1,31,24,27,33,26,30,27,30,27,30,23
673,29,1,29,27,24,30,25,32,22,65,24,40,27
697,30,1,30,29,28,37,27,35,32,48,31,35,33
721,31,1,25,16,18,26,17,25,20,26,20,25,14
745,1,2,26,13,19,18,19,21,17,7,14,18,9
769,2,2,22,18,21,21,20,25,21,9,18,20,15
793,3,2,35,35,28,31,28,34,27,22,27,31,35
817,4,2,38,35,34,39,35,38,32,48,33,38,37
841,5,2,30,26,29,28,31,33,27,29,26,31,22
865,6,2,40,33,33,39,33,35,31,38,31,34,32
889,7,2,52,38,43,52,43,42,36,46,33,41,37
913,8,2,37,28,33,39,33,33,33,37,33,34,29
937,9,2,26,23,21,30,24,29,28,30,28,28,23
961,10,2,42,36,41,43,43,40,42,45,39,41,39
985,11,2,45,37,39,44,42,43,43,38,40,40,38
1009,12,2,31,30,28,37,31,35,33,37,33,34,29
1033,13,2,31,35,31,34,33,34,32,30,31,32,36
1057,14,2,38,35,33,40,33,42,41,42,35,40,35
1081,15,2,41,28,32,45,32,38,34,43,31,37,29
1105,16,2,29,25,27,30,26,29,28,29,27,29,23
1129,17,2,26,21,19,26,22,23,21,22,19,21,20
1153,18,2,35,26,32,35,33,29,31,35,29,29,26
1177,19,2,37,36,26,28,31,38,28,27,32,35,35
1201,20,2,36,33,30,38,31,40,38,38,35,38,33
1225,21,2,50,53,52,56,51,56,57,59,55,57,53
1249,22,2,40,34,41,44,42,39,39,40,36,37,36
1273,23,2,37,30,32,31,34,36,30,32,28,34,27
1297,24,2,36,33,35,42,36,40,37,38,36,37,36
1321,25,2,38,34,34,39,35,39,36,38,36,38,35
1345,26,2,32,29,30,33,29,34,30,34,28,34,27
1369,27,2,37,34,31,37,32,36,36,38,35,37,33
1393,28,2,28,25,26,33,34,33,30,28,35,31,27
1417,29,2,31,28,36,29,38,32,30,28,30,30,27
1441,1,3,53,40,37,51,39,48,44,47,43,48,34
1465,2,3,56,53,52,62,53,57,57,61,56,57,52
1489,3,3,59,46,54,61,55,56,54,60,48,56,40
1513,4,3,53,54,51,53,51,55,57,57,55,57,54
1537,5,3,47,54,47,56,46,61,54,56,52,60,50
1561,6,3,70,65,69,71,70,69,72,72,71,71,66
1585,7,3,55,48,50,58,50,55,53,55,48,54,45
1609,8,3,42,42,42,42,42,46,43,44,43,46,41
1633,9,3,40,35,37,34,38,36,33,32,31,36,33
