Stage,TimeStep,Node,r_U,r_D,P_lsh,delta_RT,s
RT,0,0,0.0,0.0,0.0,0.0,0.0
RT,0,1,0.0,0.0,0.0,2.4516614633643314,0.0
RT,0,2,0.0,0.0,0.0,1.4424861257304258,0.0
RT,0,3,0.0,0.0,0.0,1.7154728473193188,0.0
RT,0,4,0.0,0.0,0.0,1.6830919941491516,0.0
RT,0,5,0.0206699195,0.0,0.0,3.2283422751080764,0.0
RT,0,6,0.0,0.0,0.0,3.393376576576429,0.0
RT,0,7,0.0,0.0,0.0,0.24784701734682812,0.0
RT,0,8,0.0,0.0,0.0,0.2450546051029221,0.0
RT,0,9,0.081045878,0.0,0.0,0.2421065502093711,0.0
RT,0,10,0.0,0.0,0.0,3.272754108806822,0.0
RT,0,11,0.0,0.0,0.0,3.332149135240911,0.0
RT,0,12,0.0,0.0,0.0,3.7878924105802696,0.0
RT,0,13,0.0,0.0,0.0,3.15099118011517,0.0
RT,0,14,0.0167799136,0.0,0.0,1.2525463251007238,0.0
RT,0,15,0.0,0.0,0.0,2.962413219066832,0.0
RT,0,16,0.0,0.0,0.0,-0.142995305258097,0.0
RT,0,17,0.0798738817,0.0,0.0,1.281159866345746,0.0
RT,0,18,0.0121015894,0.0,0.0,1.1634850123467118,0.0
RT,0,19,0.0,0.0,0.0,2.498350427794321,0.0
RT,0,20,0.0,0.0,0.0,2.6839701706158223,0.0
RT,0,21,0.0,0.0,0.0,2.2002376221805378,0.0
RT,0,22,0.0,0.0,0.0,0.5926369796039808,0.0
RT,0,23,0.0,0.0,0.0,-1.739893850369782,0.0
RT,0,24,0.0,0.0,0.0,0.5904253230740721,0.0
RT,0,25,0.00490592789,0.0,0.0,-0.5413292875093987,0.0
RT,0,26,0.0491396126,0.0,0.0,5.4269608351275735,0.0
RT,0,27,0.0,0.0,0.0,5.860178488894746,0.0
RT,0,28,0.0,0.0,0.0,5.516594279789842,0.0
RT,0,29,0.0,0.0,0.0,-3.0840950481429843,0.0
RT,0,30,0.0,0.0,0.0,4.988961988759684,0.0
RT,0,31,0.0,0.0,0.0,4.482798953137888,0.0
RT,0,32,0.0,0.0,0.0,-2.7159903579981233,0.0
RT,0,33,0.0813432094,0.0,0.0,-8.491948845330569,0.0
RT,0,34,0.0,0.0,0.0,-8.071728283502495,0.0
RT,0,35,0.0,0.0,0.0,-8.070222648713951,0.0
RT,0,36,0.0,0.0,0.0,-8.919412830141937,0.0
RT,0,37,0.0,0.0,87.79917588233275,-12.34393648409565,0.0
RT,0,38,0.0,0.0,0.0,-9.447233331955772,0.0
RT,0,39,0.0,0.0,0.0,-10.585455957243767,0.0
RT,0,40,0.0,0.0,0.0,-11.765683410299147,0.0
RT,0,41,0.171827904,0.0,0.0,-17.596680461839185,0.0
RT,0,42,0.0,0.0,0.0,-15.099819953263335,0.0
RT,0,43,0.0,0.0,0.0,-27.009558049313966,0.0
RT,0,44,0.0,0.0,0.0,-32.1209274348341,0.0
RT,0,45,0.0,0.0,0.0,-39.155720304852,0.0
RT,0,46,0.0,0.0,0.0,-35.862782385680845,0.0
RT,0,47,0.0,0.0,0.0,-37.89387105687783,0.0
RT,0,48,0.0,0.0,0.0,-38.07421027897996,0.0
RT,0,49,0.0,0.0,0.0,-39.325943343104655,0.0
RT,0,50,0.0,0.0,0.0,-40.80064751488152,0.0
RT,0,51,0.0,0.0,0.0,-40.95721996052049,0.0
RT,0,52,0.0,0.0,0.0,-42.90051048740452,0.0
RT,0,53,73.2790474,0.0,0.0,-45.78827762473247,0.0
RT,0,54,25.7855492,0.0,0.0,-46.34227447547758,0.0
RT,0,55,0.0,0.0,0.0,-45.766933329319926,0.0
RT,0,56,0.0,0.0,0.0,-42.72361820220823,0.0
RT,0,57,0.0,0.0,0.0,-42.66635193159689,0.0
RT,0,58,0.0874311538,0.0,0.0,-41.64164281366337,0.0
RT,0,59,0.0,0.0,0.0,-36.22238578168907,0.0
RT,0,60,0.0,0.0945496808,0.0,-36.55054339412993,0.0
RT,0,61,0.0336294159,0.0,0.0,-35.004072674229064,0.0
RT,0,62,0.0,0.0,0.0,-37.1903208969174,0.0
RT,0,63,0.0,0.0,0.0,-34.88393648409564,2.5060456423666437
RT,0,64,0.0,0.0,27.064357999051936,-29.598936484095645,0.0
RT,0,65,0.0,0.0,0.0,-33.159560026030704,0.0
RT,0,66,0.0,0.0,0.0,-33.23665733273509,0.0
RT,0,67,0.0,0.0,70.85204711501956,-26.798936484095634,0.0
RT,0,68,0.0,0.0,0.0,-23.6699461350249,0.0
RT,0,69,0.0577499247,0.0,0.0,-13.581878067140593,0.0
RT,0,70,0.0,0.0,0.0,-12.35658768038283,0.0
RT,0,71,0.0,0.0,0.0,-6.697214027822355,0.0
RT,0,72,0.0,0.0,0.0,-12.217016393254141,0.0
RT,0,73,0.0576420768,0.0,0.0,-14.036208999836077,0.0
RT,0,74,0.0,0.0,0.0,-15.581851008918306,0.0
