load (MW),Change1
1126.5,1009.25
1343.916667,1472.95
1125.583334,1232.15
1183.916667,1214.51
1153.75,1000.64
1563.5,1442.76
1718.083334,1947.23
1868.416667,1927.95
2079.583334,1987.95
1854.75,1854.03
1778.75,1611.91
1203,1307.26
1159.916667,1220.49
1251.583334,1203.84
1376.416667,1508.57
1501.25,1375.41
1633.25,1730.52
1596.5,1475.57
1665.833334,1553.19
1695.75,1730.35
1935.583334,1899.17
1439,1484.46
1630.416667,1589.61
1484.083334,1424.76
2742.25,2394.00
2564,2479.72
2133.666667,1894.66
1881.416667,2006.13
1422.666667,1332.61
1546.666667,1414.68
1776.25,1749.21
1462.416667,1404.47
1489.666667,1540.34
1376.916667,1559.41
1183.75,1054.19
1758.166667,1675.48
2049.916667,2198.67
1682.333334,1895.17
1430.833334,1574.40
1540.916667,1403.10
1251.416667,1177.15
1305.166667,1224.30
1611.916667,1589.80
1133.333334,1173.08
1490.583334,1468.70
1620.333334,1384.18
1575.583334,1508.91
1594.25,1674.14
1259.333334,1167.53
1060.75,947.73
1026.25,1113.67
1266.25,1237.33
1245.083334,1177.86
1223.916667,1342.95
1285.333334,1367.11
1134.666667,1149.97
1794.833334,1573.09
1168.75,1029.00
1168.083334,1220.76
1114.666667,1118.01
1021.833334,869.73
1079.25,1039.57
990.0833335,1017.03
1002,927.75
1000,1140.17
1137.75,980.53
1037.083334,1070.70
1372.083334,1174.53
