trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
11,11,1,53,42,44,49,47,52,44,48,40,51,35
35,22,1,47,48,44,53,44,49,46,47,45,49,50
59,33,1,56,57,51,59,52,57,56,58,56,58,62
83,44,1,64,63,58,65,62,64,64,65,62,64,66
107,55,1,66,57,55,70,45,66,54,65,47,66,47
131,66,1,45,33,38,44,39,40,41,43,38,41,34
155,77,1,28,18,22,27,23,24,25,27,24,25,18
179,88,1,35,25,28,33,30,31,29,33,29,32,25
203,99,1,31,27,30,32,30,30,30,31,30,31,27
227,110,1,19,13,9,20,10,19,14,18,13,18,10
251,121,1,26,13,17,22,18,19,19,22,18,19,13
275,132,1,43,42,35,41,37,42,43,43,39,43,44
299,143,1,47,43,40,46,42,46,45,46,45,46,44
323,154,1,35,31,24,36,24,35,31,36,32,35,31
347,165,1,32,34,22,41,19,43,32,39,32,43,30
371,176,1,26,21,18,27,19,30,24,27,22,29,17
395,187,1,34,26,24,33,26,35,31,33,30,34,21
419,198,1,39,39,37,39,37,40,39,38,38,41,42
443,209,1,31,24,26,32,27,32,29,32,29,32,22
467,220,1,28,20,26,28,27,26,27,27,26,27,19
491,231,1,28,18,22,27,24,26,25,26,23,26,16
515,242,1,41,36,34,41,34,41,39,40,37,40,38
539,253,1,27,18,20,28,20,28,23,27,22,28,17
563,264,1,36,36,20,41,20,44,27,37,26,39,27
587,275,1,20,15,15,23,15,22,19,21,17,22,14
611,286,1,34,22,23,28,22,20,19,22,19,20,20
635,297,1,40,29,34,30,34,28,24,28,24,28,24
659,308,1,31,22,27,29,28,27,27,26,26,27,24
683,319,1,36,33,29,41,31,40,33,63,32,45,33
707,330,1,39,31,23,45,21,43,29,44,26,41,25
731,341,1,26,11,18,26,18,22,22,23,21,21,11
755,11,2,29,15,21,28,21,26,26,18,23,23,13
779,22,2,37,23,27,33,27,32,30,22,28,29,15
803,33,2,48,35,42,49,43,36,35,28,32,33,34
827,44,2,43,34,37,42,39,40,42,31,41,39,34
851,55,2,39,29,33,36,34,34,33,35,31,34,24
875,66,2,58,35,45,61,46,40,33,45,32,37,35
899,77,2,47,36,43,51,45,44,45,52,43,46,37
923,88,2,36,28,29,36,29,35,34,37,32,36,27
947,99,2,44,28,37,40,39,38,43,44,37,40,30
971,110,2,44,41,42,44,43,44,42,45,40,44,41
995,121,2,44,35,38,45,38,43,41,45,37,43,34
1019,132,2,38,33,33,37,34,35,37,41,34,37,33
1043,143,2,45,38,36,43,40,45,45,49,44,46,38
1067,154,2,47,42,38,46,40,47,47,50,44,48,40
1091,165,2,43,33,34,43,37,42,39,43,37,41,34
1115,176,2,30,22,24,29,25,27,27,29,25,27,22
1139,187,2,37,27,30,35,33,30,31,35,29,31,29
1163,198,2,37,33,31,37,33,37,36,38,35,37,30
1187,209,2,48,46,42,45,44,50,52,46,49,49,48
1211,220,2,54,44,42,56,46,54,49,56,45,52,41
1235,231,2,60,46,52,62,52,57,58,63,53,58,45
1259,242,2,43,37,40,45,42,44,43,46,41,44,37
1283,253,2,47,34,37,43,39,42,42,44,38,42,31
1307,264,2,46,40,41,48,44,45,43,48,39,46,40
1331,275,2,38,35,32,39,33,39,37,41,36,40,34
1355,286,2,37,30,35,37,36,34,34,36,32,34,30
1379,297,2,43,38,35,42,37,41,42,43,40,42,37
1403,308,2,44,40,39,45,42,46,45,46,44,47,35
1427,319,2,56,44,49,55,53,55,51,59,50,55,38
1451,11,3,61,48,50,59,53,58,55,61,53,59,48
1475,22,3,65,61,56,64,58,64,66,66,64,66,63
1499,33,3,60,53,55,62,57,61,61,63,56,61,51
1523,44,3,67,66,52,70,50,71,63,73,59,72,64
1547,55,3,68,61,48,72,49,67,57,75,52,68,60
1571,66,3,64,60,60,71,61,64,64,65,63,63,62
1595,77,3,54,49,51,54,51,54,54,55,52,55,49
1619,88,3,47,39,44,48,45,46,46,50,45,47,41
