load (MW),Change1,Change2,Change3,Change4,Change5
1477.25,1564.79,1283.19,1336.54,1657.28,1600.28
1339.333334,1147.08,1304.17,1510.40,1354.27,1431.33
1290.916667,1422.45,1351.68,1230.53,1282.46,1148.86
854,927.64,972.44,796.82,918.06,978.93
1008.416667,873.20,1102.80,892.35,1080.54,1102.09
1686.166667,1889.96,1600.46,1482.82,1670.02,1549.22
2625.25,2407.76,2369.37,2894.90,2302.39,2328.68
2379.333334,2479.49,2052.93,2212.42,2653.01,2358.98
2134.166667,2129.09,2378.13,2194.50,1954.06,2233.78
2219.25,2516.85,2029.05,1941.34,2264.77,2159.62
3009.5,3172.10,2584.58,2586.00,2788.20,3223.15
2135.333334,2318.51,1853.40,2322.53,1868.16,1843.92
1728.666667,1508.54,1673.98,1593.93,1950.46,1622.05
1970.166667,1734.66,1885.74,2248.88,1891.43,2030.28
1644.25,1619.66,1679.96,1886.22,1702.91,1837.86
2296.166667,2250.34,2029.42,2332.93,2482.23,2429.89
1986.833334,1826.20,1897.33,1906.75,1780.61,1898.40
1414.583334,1306.40,1538.03,1258.01,1255.38,1224.54
2007.083334,2098.44,1900.78,2179.00,1830.83,2025.23
2654.833334,2841.78,2931.93,2471.56,3020.72,2607.73
2429.583334,2564.57,2642.96,2556.97,2171.19,2485.16
2309.5,2565.37,2584.95,2297.28,2624.12,2555.04
2414.666667,2113.67,2122.90,2443.72,2613.86,2216.13
1833.833334,1948.06,2057.80,1681.64,1850.97,1602.71
2141.166667,1964.89,1965.25,1942.54,2094.11,2354.17
2664.083334,2695.58,2531.50,2929.10,2770.70,2459.25
2176.666667,1988.95,2004.55,2368.75,2487.34,2491.27
2446.5,2229.59,2219.35,2743.44,2481.59,2138.48
2156.666667,2139.02,2431.95,1961.91,2397.03,2166.29
1903.75,2045.20,1784.36,1775.79,1827.90,1948.93
2869.666667,3127.75,3070.55,2971.16,3255.03,2958.32
2411.333334,2640.99,2394.88,2067.44,2395.27,2087.51
2466.416667,2823.26,2139.61,2548.95,2830.92,2620.91
1990.083334,1756.26,1838.95,1711.08,1993.02,2123.65
1893.583334,1858.52,1924.64,1755.59,1648.80,1625.03
2136.166667,1897.33,2259.48,1992.74,2264.22,2125.20
2001.416667,2178.72,1880.25,1969.60,1771.76,2201.82
1665.333334,1875.12,1767.11,1847.43,1780.27,1572.93
2059.833334,1989.22,2188.67,1890.96,2131.27,1935.83
2219.833334,2467.27,2068.72,2174.22,2312.60,2194.90
1843.583334,1885.99,1918.24,1801.61,1754.08,1595.66
1743.666667,1964.85,1807.40,1653.98,1749.09,1878.48
1777.833334,1578.30,1620.72,1781.35,1785.00,1733.32
2004.083334,2024.69,1864.19,1925.87,2015.07,1722.42
1517.666667,1389.70,1657.95,1341.68,1372.62,1740.40
1697.916667,1777.61,1496.06,1871.10,1835.35,1483.66
2189.833334,1909.70,2426.09,2192.30,2368.32,2010.79
2257.083334,2160.18,1994.79,2590.54,2410.10,2236.55
2475.333334,2587.49,2586.64,2182.99,2529.16,2746.13
1875.583334,1747.55,1824.71,1969.27,1687.56,1952.45
1761.833334,1604.85,1959.31,1821.79,1818.86,1964.95
1078.75,1212.02,1082.87,1114.56,1143.83,1110.89
1644.916667,1572.09,1665.93,1532.71,1872.12,1663.22
2010.166667,2028.76,2158.98,1777.31,2096.32,2222.68
1645.083334,1878.20,1427.23,1743.67,1674.43,1522.32
1897.666667,1853.02,1871.99,2154.25,1769.04,1705.10
1947.583334,1907.69,1825.02,1769.30,1673.78,1684.63
1814.5,1938.25,1847.76,2076.17,1904.18,2062.95
1989.083334,1952.14,1958.04,2144.22,2127.07,2043.95
1757.416667,1847.57,1591.85,1708.47,1645.72,1938.77
1589.75,1569.22,1430.01,1458.00,1633.28,1485.04
1125,1105.75,1212.38,1101.16,1259.09,999.21
1293.833334,1222.66,1243.79,1161.43,1423.06,1134.07
1035.5,1038.14,963.71,1090.15,961.94,1126.09
931.1666665,896.20,951.21,978.86,984.56,859.23
817.1666665,826.69,850.33,818.35,861.73,743.38
1054.833334,913.11,1093.90,1182.82,1127.77,1113.73
1475.666667,1580.15,1383.63,1536.26,1399.71,1612.76
1818,1955.94,1681.46,1886.08,2049.93,1760.79
