trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
21,21,1,39,46,34,40,34,45,40,36,37,44,48
45,42,1,46,51,41,48,42,51,45,42,45,48,51
69,63,1,62,60,59,62,58,60,65,61,64,61,63
93,84,1,65,61,55,64,48,60,60,64,60,63,61
117,105,1,52,44,46,61,46,56,49,59,46,56,43
141,126,1,38,22,32,39,31,32,30,35,28,31,20
165,147,1,29,23,24,29,25,29,25,27,25,28,23
189,168,1,37,27,29,35,30,30,30,31,31,30,29
213,189,1,30,25,23,31,20,29,28,30,27,29,24
237,210,1,18,11,13,19,13,17,14,18,11,16,9
261,231,1,27,28,25,28,26,26,28,27,29,27,32
285,252,1,43,39,44,45,45,46,43,38,43,44,41
309,273,1,41,39,38,49,38,48,41,48,40,48,35
333,294,1,32,36,28,35,28,34,30,31,34,35,39
357,315,1,28,28,23,28,22,36,30,27,30,34,26
381,336,1,30,25,24,25,24,29,26,22,25,28,23
405,357,1,34,35,32,40,31,40,35,39,35,40,34
429,378,1,36,35,33,42,34,45,37,39,36,43,34
453,399,1,30,22,25,30,26,30,27,27,26,29,20
477,420,1,28,21,25,25,25,26,25,22,25,26,20
501,441,1,21,24,23,26,24,27,23,22,21,25,25
525,462,1,45,34,38,49,37,44,39,45,36,42,33
549,483,1,22,26,17,27,17,28,25,27,26,30,26
573,504,1,23,28,19,28,17,31,23,27,25,30,24
597,525,1,21,17,20,21,20,18,16,19,17,18,17
621,546,1,37,27,31,31,31,26,23,26,23,25,24
645,567,1,33,29,37,32,36,32,28,30,29,33,26
669,588,1,31,26,26,32,26,33,22,69,27,42,23
693,609,1,35,34,28,41,29,41,37,45,36,40,34
717,630,1,29,21,22,29,22,30,25,29,25,29,18
741,651,1,26,18,20,25,20,27,24,12,20,23,14
765,21,2,25,23,26,26,26,29,27,14,25,25,21
789,42,2,32,36,31,35,31,36,33,25,32,33,35
813,63,2,39,40,37,42,37,40,32,66,33,46,40
837,84,2,30,30,33,34,34,35,33,33,31,34,29
861,105,2,37,32,33,37,32,37,35,39,33,37,31
885,126,2,45,36,41,51,42,40,36,43,34,39,36
909,147,2,39,31,36,45,36,37,38,44,36,38,32
933,168,2,27,25,26,30,28,30,29,28,28,28,28
957,189,2,41,38,41,43,43,41,44,46,42,43,40
981,210,2,44,41,40,50,40,48,47,51,44,48,39
1005,231,2,32,33,35,39,32,37,36,37,33,36,34
1029,252,2,37,35,36,39,35,36,34,39,36,36,35
1053,273,2,38,36,33,41,35,38,43,37,37,37,37
1077,294,2,45,39,41,46,39,46,41,49,38,47,37
1101,315,2,34,29,29,32,28,33,32,34,30,33,29
1125,336,2,26,25,26,28,26,27,26,25,23,25,26
1149,357,2,35,31,33,35,33,31,33,35,33,33,30
1173,378,2,39,34,36,32,36,37,37,31,33,35,37
1197,399,2,40,40,40,44,41,47,45,49,42,49,43
1221,420,2,51,56,43,60,46,59,61,62,61,60,56
1245,441,2,46,38,44,51,44,47,47,51,43,47,39
1269,462,2,40,33,37,36,40,41,39,36,36,38,35
1293,483,2,37,38,35,43,37,42,39,40,37,40,40
1317,504,2,43,39,39,46,37,46,39,46,37,45,37
1341,525,2,34,35,32,35,34,37,35,37,35,37,34
1365,546,2,37,35,35,37,34,37,36,38,36,37,34
1389,567,2,34,39,34,39,32,43,39,40,41,43,38
1413,588,2,34,36,42,36,45,40,40,36,38,38,39
1437,609,2,51,50,50,57,51,55,52,60,49,57,50
1461,21,3,54,57,48,63,49,59,61,63,61,60,59
1485,42,3,62,56,60,63,60,59,61,62,60,60,56
1509,63,3,50,53,49,57,50,57,58,55,56,56,57
1533,84,3,52,64,54,62,50,67,59,67,55,68,59
1557,105,3,73,70,70,74,71,71,73,74,72,72,72
1581,126,3,61,54,57,64,57,62,63,66,59,63,53
1605,147,3,47,42,46,52,47,53,48,57,46,52,44
1629,168,3,44,37,41,46,38,40,40,46,40,41,37
