trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
22,22,1,38,45,30,37,33,43,38,36,37,42,47
46,44,1,45,49,41,48,41,49,46,43,44,47,46
70,66,1,63,60,59,62,60,60,63,61,62,61,64
94,88,1,64,61,48,63,48,62,59,63,52,63,61
118,110,1,49,41,46,61,45,54,48,58,43,54,41
142,132,1,36,21,29,37,28,30,29,33,27,30,20
166,154,1,31,22,26,28,24,28,23,26,22,28,21
190,176,1,35,27,30,32,30,30,31,30,32,30,29
214,198,1,29,24,22,31,20,28,28,28,25,27,21
238,220,1,18,9,12,18,13,17,12,16,11,14,7
262,242,1,28,30,25,27,26,27,28,27,30,28,31
286,264,1,44,42,42,41,45,47,40,35,40,45,41
310,286,1,39,37,37,45,35,46,38,43,40,45,33
334,308,1,34,37,28,32,29,35,31,35,33,36,38
358,330,1,28,27,22,26,21,35,28,26,29,33,25
382,352,1,30,23,24,24,24,28,26,20,25,25,21
406,374,1,34,35,31,40,31,40,36,39,35,40,34
430,396,1,36,33,34,40,34,42,36,37,35,41,33
454,418,1,29,20,25,31,25,28,26,28,26,28,20
478,440,1,28,21,24,23,24,26,23,24,23,25,18
502,462,1,21,21,20,25,21,26,22,20,20,23,23
526,484,1,40,32,34,45,35,43,38,42,36,40,30
550,506,1,24,26,15,29,15,29,25,30,26,31,25
574,528,1,23,26,17,27,17,30,23,25,23,29,21
598,550,1,22,16,20,21,20,18,16,19,17,18,15
622,572,1,37,27,31,31,31,26,23,27,23,25,24
646,594,1,31,29,34,32,33,33,28,30,28,33,26
670,616,1,29,24,25,31,25,31,24,65,28,39,25
694,638,1,32,34,28,40,28,39,36,49,35,39,35
718,660,1,28,20,21,27,20,29,23,28,23,29,17
742,682,1,26,14,20,23,20,24,21,12,19,20,13
766,22,2,27,21,23,25,23,27,27,14,22,23,18
790,44,2,30,36,30,31,30,36,32,23,30,33,35
814,66,2,39,38,37,41,37,39,32,64,34,44,40
838,88,2,30,28,30,32,33,35,30,30,30,32,27
862,110,2,37,32,32,37,32,36,34,38,32,37,31
886,132,2,45,36,42,52,40,40,36,44,33,40,36
910,154,2,38,30,35,43,36,36,37,42,35,37,30
934,176,2,25,24,26,28,26,29,28,27,27,28,26
958,198,2,41,37,42,44,43,40,43,45,42,42,40
982,220,2,45,37,40,50,41,45,45,48,42,44,37
1006,242,2,31,30,33,39,31,35,33,35,33,33,30
1030,264,2,37,35,35,38,33,35,35,37,33,34,35
1054,286,2,38,33,32,37,32,36,40,36,34,36,36
1078,308,2,45,39,40,46,37,45,41,47,36,45,36
1102,330,2,32,28,29,32,28,31,30,33,30,32,27
1126,352,2,24,22,24,27,23,25,25,25,23,23,25
1150,374,2,35,28,32,35,33,31,33,35,33,32,29
1174,396,2,38,31,35,34,34,37,37,29,31,33,33
1198,418,2,39,39,37,42,36,44,43,44,38,44,42
1222,440,2,54,55,45,59,47,58,60,60,60,60,56
1246,462,2,46,37,43,49,44,44,46,48,43,45,38
1270,484,2,38,30,36,36,38,39,37,34,33,36,34
1294,506,2,36,35,35,43,37,40,38,40,37,39,38
1318,528,2,40,38,37,45,37,44,37,44,37,43,37
1342,550,2,31,34,32,35,31,36,32,35,33,35,33
1366,572,2,37,35,33,37,33,36,36,38,36,37,34
1390,594,2,32,34,28,37,31,39,37,36,38,38,35
1414,616,2,32,35,40,33,44,38,36,34,35,36,34
1438,638,2,50,46,45,57,44,53,50,57,45,55,43
1462,22,3,55,53,45,63,51,58,59,63,61,57,56
1486,44,3,63,54,58,63,58,59,61,63,57,60,53
1510,66,3,51,52,50,54,50,56,57,56,56,55,55
1534,88,3,51,60,51,60,48,67,57,62,54,67,56
1558,110,3,73,69,70,73,71,71,73,74,71,72,70
1582,132,3,60,53,56,64,56,61,59,64,56,61,52
1606,154,3,47,43,44,52,46,47,43,48,43,46,42
1630,176,3,44,35,38,45,38,39,38,43,37,39,35
