load (MW),Change1
1406.083334,1365.80
1207.416667,1153.15
1173.416667,1155.25
821.5833335,915.24
838.75,768.58
1396.75,1289.31
2326.916667,2261.48
2142.916667,1856.10
1838.5,1955.67
2065.5,2259.59
2798.333334,2948.14
1936.333334,2139.48
1489.916667,1273.81
1621.833334,1568.47
1372.166667,1206.83
2016,2168.89
1920.166667,1638.03
1418,1441.58
1738.666667,1542.46
2333.916667,2231.72
2154.583334,1873.98
2097.583334,1846.05
2134.666667,2203.86
1763.833334,1815.98
1965.083334,1965.79
2568.416667,2484.45
2059.5,2043.61
2185,1916.79
1984.083334,1895.28
1685,1591.92
2612.25,2306.33
2266.916667,1942.03
2111.416667,1935.80
1778.916667,2038.44
1600.083334,1642.80
1880.916667,1749.70
1868.75,1883.25
1581.5,1801.23
1908.416667,2008.33
1914.75,1924.40
1620.583334,1714.14
1505.666667,1519.75
1558.75,1760.88
1797.916667,1682.30
1427.333334,1593.03
1576.166667,1551.72
1995.166667,2036.62
2061,1824.92
2187.083334,2235.36
1608.916667,1835.62
1474.166667,1300.58
1012.916667,1162.25
1516.416667,1430.61
1679.5,1856.22
1432.583334,1351.94
1583.333334,1454.13
1727.583334,1595.42
1624.416667,1667.14
1787.666667,1597.56
1580.083334,1672.15
1227,1251.58
935.75,953.15
1035.916667,921.03
858.8333335,755.35
776.9166665,686.42
787.4166665,787.46
897.3333335,796.81
1198.083334,1046.84
1501.916667,1627.21
