trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
20,20,1,40,46,35,43,39,44,42,37,38,43,50
44,40,1,47,52,42,46,42,53,47,44,49,50,53
68,60,1,63,62,58,63,56,62,65,63,65,62,65
92,80,1,67,62,56,66,49,62,66,66,63,64,62
116,100,1,54,46,47,63,46,57,52,61,47,57,45
140,120,1,39,24,36,40,33,35,33,38,30,34,23
164,140,1,30,23,24,30,26,29,26,28,27,29,23
188,160,1,35,28,31,35,31,30,34,31,33,30,29
212,180,1,31,26,25,32,23,30,28,30,28,29,26
236,200,1,18,15,14,18,13,19,16,18,15,17,11
260,220,1,26,30,24,28,24,28,27,27,29,28,33
284,240,1,43,42,44,48,45,47,48,46,47,47,44
308,260,1,44,42,39,50,41,50,46,51,42,51,37
332,280,1,32,35,26,36,26,36,31,34,34,36,37
356,300,1,29,29,23,29,22,38,32,30,32,36,28
380,320,1,30,27,25,29,25,31,28,25,27,29,24
404,340,1,34,36,32,41,31,42,36,39,35,41,34
428,360,1,39,37,36,44,34,47,37,39,36,45,35
452,380,1,30,23,26,31,26,31,28,28,28,30,20
476,400,1,28,22,26,28,26,28,26,24,26,27,21
500,420,1,23,24,24,27,24,27,26,24,25,26,26
524,440,1,47,35,39,51,38,45,42,49,38,45,35
548,460,1,23,27,18,27,19,30,26,27,26,31,25
572,480,1,23,31,19,29,19,35,24,27,25,33,27
596,500,1,22,16,20,20,19,17,17,19,17,17,16
620,520,1,37,27,31,30,31,26,23,26,23,25,24
644,540,1,34,29,36,32,36,31,28,29,29,30,26
668,560,1,31,27,26,32,26,33,25,30,27,33,22
692,580,1,34,34,29,42,29,40,39,53,37,42,35
716,600,1,29,22,23,30,23,32,26,33,26,32,19
740,620,1,25,22,22,26,22,28,27,13,22,24,22
764,20,2,27,26,27,27,28,30,29,15,28,26,27
788,40,2,32,37,31,36,30,37,34,27,31,34,36
812,60,2,39,42,38,43,38,42,34,65,35,46,42
836,80,2,32,33,35,37,36,38,37,34,33,37,33
860,100,2,35,32,33,37,32,37,36,41,33,37,31
884,120,2,44,36,40,51,42,40,36,42,33,39,36
908,140,2,41,31,37,46,37,39,38,45,35,39,32
932,160,2,29,28,29,32,29,32,30,30,30,31,30
956,180,2,43,38,41,44,43,41,45,46,43,43,40
980,200,2,42,43,44,50,42,47,43,49,44,48,40
1004,220,2,33,36,36,40,34,41,39,39,35,40,37
1028,240,2,37,36,37,39,36,37,37,40,37,38,38
1052,260,2,37,40,39,40,38,43,43,39,39,41,37
1076,280,2,47,43,44,48,42,47,44,49,42,47,42
1100,300,2,35,31,29,34,29,33,34,37,32,35,33
1124,320,2,27,26,29,29,29,28,28,28,26,27,28
1148,340,2,35,31,33,35,33,31,34,35,34,33,32
1172,360,2,39,40,37,37,37,41,39,35,36,39,36
1196,380,2,41,47,44,49,40,50,46,51,46,51,51
1220,400,2,52,58,42,61,45,60,61,62,61,62,58
1244,420,2,48,40,46,52,46,49,48,53,45,49,38
1268,440,2,40,36,40,41,42,42,41,41,37,41,37
1292,460,2,38,41,38,43,39,43,41,42,39,42,43
1316,480,2,43,40,41,47,37,46,40,48,39,45,39
1340,500,2,37,39,35,38,37,40,38,40,37,41,37
1364,520,2,37,35,35,37,35,37,37,38,36,37,36
1388,540,2,35,43,36,40,35,43,42,42,42,44,44
1412,560,2,37,46,45,40,46,44,45,40,42,41,45
1436,580,2,51,54,52,59,52,58,55,62,53,59,54
1460,20,3,55,60,51,63,53,62,63,65,62,62,61
1484,40,3,64,58,63,63,62,60,63,62,62,60,60
1508,60,3,52,55,57,60,54,59,61,55,60,59,60
1532,80,3,53,64,56,64,51,68,61,69,56,70,62
1556,100,3,73,71,64,74,66,71,73,76,72,73,72
1580,120,3,63,56,59,65,58,64,65,68,61,65,54
1604,140,3,47,48,47,55,47,56,57,56,55,56,43
1628,160,3,44,37,42,47,42,43,43,47,41,44,37
