load (MW),Change1,Change2,Change3,Change4,Change5
1370.833334,1263.35,1460.05,1309.15,1427.32,1359.50
1169.833334,1138.84,1122.57,1018.07,1013.87,1030.07
1189.333334,1272.55,1276.32,1083.73,1289.48,1071.36
867.9166665,821.89,811.73,865.47,894.28,854.20
860.0833335,849.11,910.17,827.91,879.03,909.98
1306.833334,1263.53,1225.85,1250.74,1476.34,1207.10
2203.916667,2159.92,2286.05,2345.24,2386.37,2396.58
2093.5,1851.36,2285.14,2185.12,1869.63,2219.80
1754.666667,1774.70,1532.22,1689.97,1884.55,1881.40
1958.916667,1754.76,2250.48,1690.57,1872.69,2135.20
2604,2535.68,2675.13,2783.39,2542.92,2588.94
1916.583334,2055.46,1925.58,2104.67,2080.07,1701.58
1436.916667,1452.74,1555.94,1245.75,1323.08,1537.37
1503.166667,1374.30,1407.69,1662.35,1304.30,1602.19
1387,1489.82,1504.82,1237.62,1312.39,1359.92
1914.583334,2133.49,1907.89,2133.12,2022.85,2168.07
1860.25,1851.67,2031.86,2028.78,1671.58,2032.85
1423.75,1450.11,1295.20,1252.23,1526.57,1583.83
1627.25,1489.36,1649.04,1506.58,1467.82,1756.30
2237.583334,2273.76,2370.85,2430.85,2392.08,2049.44
2109.75,2183.54,2245.51,2127.59,2268.63,2156.84
2030.5,2311.33,2192.76,1864.82,2318.69,2272.52
1863.166667,1710.72,2078.77,1835.30,1661.66,1880.69
1736.333334,1719.57,1996.22,1888.62,1534.54,1723.83
1853,1667.38,1678.25,1697.36,1882.10,1756.26
2496.166667,2189.33,2629.69,2508.85,2419.37,2181.96
2053.083334,2034.20,2217.19,2035.63,2307.34,2284.62
2075.25,1922.48,2103.22,2290.41,2303.57,2270.47
1956.416667,1935.95,2066.62,2065.28,2227.82,1967.74
1632.75,1793.45,1452.84,1544.37,1610.10,1458.23
2420.916667,2718.89,2516.75,2141.41,2111.14,2376.32
2156.333334,2318.44,2127.69,1969.48,2105.78,2025.78
1960.166667,2008.61,1968.23,1880.68,2164.72,1718.41
1652.25,1671.78,1551.06,1606.73,1598.14,1661.96
1544.166667,1368.51,1442.46,1521.55,1317.29,1507.66
1782.416667,2017.78,1664.59,1810.51,2019.95,1931.54
1826.916667,2097.66,1597.95,1781.60,1815.29,1843.07
1562.75,1527.84,1423.23,1348.94,1429.21,1564.03
1879,2154.30,1659.88,2047.27,1722.75,1651.91
1805.416667,1943.25,1993.82,1792.27,1723.14,1874.66
1595,1771.30,1468.03,1799.68,1614.68,1815.51
1498.083334,1563.26,1675.16,1711.61,1596.71,1479.37
1533.583334,1423.38,1466.80,1683.08,1403.37,1683.89
1750.333334,1636.92,1498.50,1842.63,1677.28,1963.63
1396.166667,1495.23,1207.72,1224.45,1369.68,1432.53
1512.5,1490.33,1632.87,1669.13,1490.78,1499.11
1849,1979.44,1663.27,1890.10,1842.46,1587.01
2050.416667,1853.09,1985.37,2102.40,1772.16,1965.49
2045.5,2235.68,2150.66,2348.63,2256.80,2199.19
1520.166667,1596.55,1321.96,1518.99,1492.43,1721.13
1331.416667,1523.69,1370.78,1472.61,1440.24,1277.65
1020.916667,1143.35,995.59,1018.69,1065.06,1164.16
1464.5,1635.98,1405.83,1673.12,1469.65,1342.98
1601.166667,1586.23,1386.86,1655.05,1386.03,1790.90
1414.25,1297.72,1384.44,1418.04,1582.88,1241.35
1454.25,1259.70,1442.89,1561.24,1562.26,1579.74
1643.166667,1613.70,1407.02,1604.00,1647.15,1809.10
1564.083334,1501.49,1475.39,1347.61,1517.66,1444.09
1669.25,1861.29,1876.52,1471.05,1745.26,1622.70
1443.25,1615.97,1440.99,1403.78,1418.77,1622.24
1118.75,1179.58,1164.01,1271.54,1038.10,1125.23
937.0833335,913.84,867.68,871.79,874.12,1010.35
995.6666665,940.14,941.03,889.77,995.79,996.72
837.1666665,826.33,878.06,820.48,740.60,730.36
782.9166665,889.77,876.45,723.63,747.89,825.74
812,835.64,728.29,842.58,827.54,800.50
859.8333335,775.43,770.95,769.62,737.49,854.49
1121.666667,1188.03,971.52,954.29,985.38,954.40
1411.666667,1435.47,1552.19,1304.13,1286.62,1271.25
