trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
17,17,1,52,56,51,57,50,59,56,60,55,59,54
41,34,1,57,56,49,61,49,60,55,58,56,58,59
65,51,1,68,68,63,72,63,71,73,72,71,72,70
89,68,1,71,66,62,72,64,69,70,72,67,70,67
113,85,1,66,51,52,72,48,63,54,66,49,61,52
137,102,1,45,32,40,47,40,42,41,45,38,43,31
161,119,1,31,27,28,34,28,32,33,33,32,33,27
185,136,1,35,32,33,38,32,35,36,39,35,35,33
209,153,1,33,28,30,33,28,31,30,32,30,31,28
233,170,1,20,21,17,24,17,24,22,24,21,24,18
257,187,1,28,31,27,31,27,33,30,31,30,32,31
281,204,1,52,50,48,57,46,56,55,57,55,56,49
305,221,1,54,47,49,58,47,58,56,58,54,58,44
329,238,1,35,42,27,43,25,45,38,43,38,44,39
353,255,1,31,34,26,40,26,44,40,42,39,44,33
377,272,1,32,31,27,37,27,37,34,37,33,37,30
401,289,1,35,37,35,44,34,44,38,43,38,44,34
425,306,1,47,41,38,52,38,49,40,60,38,51,40
449,323,1,34,27,30,39,28,37,35,39,33,37,27
473,340,1,31,27,29,35,29,34,30,32,31,35,27
497,357,1,31,29,29,35,27,35,31,34,31,34,29
521,374,1,50,42,45,54,42,51,50,52,47,51,40
545,391,1,29,29,22,36,21,36,31,35,31,36,29
569,408,1,29,39,21,39,22,52,29,34,30,46,34
593,425,1,21,17,19,20,20,18,20,19,20,18,17
617,442,1,36,28,31,31,29,24,22,26,21,23,23
641,459,1,41,31,36,33,35,31,27,30,27,31,28
665,476,1,31,30,29,35,28,35,34,36,33,36,30
689,493,1,46,39,37,49,36,46,46,63,44,50,40
713,510,1,29,25,27,36,27,40,33,38,32,38,24
737,527,1,29,27,25,36,24,34,33,25,31,32,25
761,17,2,31,35,33,38,33,38,36,28,34,35,31
785,34,2,40,40,40,45,37,43,40,33,37,40,38
809,51,2,47,44,48,49,47,48,41,58,43,50,41
833,68,2,43,42,42,50,42,50,46,51,45,50,38
857,85,2,39,35,36,44,35,40,38,43,35,39,34
881,102,2,51,37,41,52,40,38,35,39,33,37,37
905,119,2,46,34,44,52,44,44,47,51,43,45,35
929,136,2,36,37,34,43,34,43,41,45,39,44,36
953,153,2,48,42,44,49,46,44,50,50,47,46,43
977,170,2,49,47,51,54,51,53,54,54,52,54,46
1001,187,2,43,43,43,51,42,48,48,53,46,49,42
1025,204,2,39,40,38,39,40,39,42,42,43,41,43
1049,221,2,50,47,47,55,46,53,55,56,52,54,46
1073,238,2,51,46,50,53,49,50,52,54,50,52,44
1097,255,2,37,38,36,41,34,41,39,42,37,42,38
1121,272,2,32,35,33,36,32,35,36,37,34,36,34
1145,289,2,35,37,35,34,35,34,34,35,36,34,37
1169,306,2,44,45,42,48,44,49,47,52,47,51,45
1193,323,2,57,58,55,63,55,62,61,63,61,62,60
1217,340,2,59,65,51,68,49,67,70,70,65,68,62
1241,357,2,58,45,52,60,54,55,55,60,52,56,43
1265,374,2,47,45,47,54,47,54,49,54,46,53,44
1289,391,2,46,48,46,51,46,49,50,52,48,50,48
1313,408,2,46,42,46,54,45,52,45,54,40,50,41
1337,425,2,43,45,43,47,44,48,46,50,45,49,44
1361,442,2,38,37,39,38,39,37,39,40,37,38,38
1385,459,2,45,50,45,46,46,51,50,51,48,52,48
1409,476,2,48,58,54,56,56,59,58,61,57,61,58
1433,493,2,65,63,63,67,64,67,68,71,68,69,64
1457,17,3,66,67,60,70,62,69,70,72,68,70,68
1481,34,3,65,61,66,67,67,61,66,71,67,63,68
1505,51,3,65,65,62,70,63,70,69,72,68,71,66
1529,68,3,69,73,62,82,58,79,69,82,63,80,69
1553,85,3,78,74,70,79,72,76,79,80,77,77,77
1577,102,3,65,61,64,66,64,69,70,72,70,72,61
1601,119,3,55,61,55,62,55,64,63,67,63,65,61
1625,136,3,49,39,47,53,46,47,47,52,45,48,41
