Hour,Breakpoint,A,B,C
1,-0.10098001,622525.6919431711,125605.76005000467,6339.094069341188
1,-0.04671732,-201404.66985063025,-18853.48976274596,-437.66184387111105
1,0.018557900000000002,248333.9038407632,-9243.042602308447,84.63154267634432
2,-0.04566522,79542.3431447095,7207.632487742525,165.77485539370136
2,0.028521499999999998,136898.2969768484,-7822.806136720831,111.21382964694871
3,-0.07463642,367740.3855010549,54825.03791892615,2045.251044437374
3,-0.01752396,-117947.78837127877,-4152.4799390986955,-34.43114144655447
3,0.0592043,199530.78868514387,-23628.500033126144,698.401695717248
4,-0.09644325,246955.39659812182,47535.64012200835,2292.6954169123683
4,-0.0075805,80800.97924069887,1191.8529375207506,5.216493232623272
4,0.06071396,100671.49770122881,-12221.206782504098,370.567373971171
5,-0.08547834,-8282.191435806597,-1520.775175230074,-62.78954187446392
5,-0.02300936,265640.8962038448,12171.046539667255,139.44670262407817
5,0.04529791,32227.677592762815,-2913.5266467391884,65.8644055100107
6,-0.0102318,231178.1840145175,4693.018642227068,23.420406483414833
6,0.06202105,21906.235500814073,-2704.3978148848732,83.68243468181937
7,-0.11182702,396400.16166095925,88516.47208750568,4948.996427024377
7,-0.072323,-23317.784233593004,-3438.233267387846,-121.54175158461899
7,0.005610100000000001,195133.88925259584,-2220.4870923237263,6.012081570324856
7,0.08261872,55847.513797216365,-9208.9497577385,379.9343560409238
8,-0.09786866,176643.85293107963,34460.57815103122,1688.0907154442284
8,-0.01707274,150854.52164255624,5101.283510397733,44.09064772687261
8,0.0578928,134245.1250581922,-15536.348963855407,449.01315253206036
9,-0.10332378,67587.59883358651,13862.752668884841,719.3957300685186
9,-0.03187008,115660.49064171023,7304.808080741517,117.45478033200713
9,0.03506544,174249.61412083567,-12229.706855441716,213.74869472520797
10,-0.05677796,151799.53277426393,17156.762118586106,487.9976989857168
10,0.01947025,168110.93800459776,-6563.315368377843,63.43455432408401
11,-0.0494645,56188.20661194895,5482.191907553354,137.07347833014197
11,0.02763094,261364.99318055427,-14456.461433746244,198.2533212494016
11,0.08979453,-65332.2635760666,11759.225804817293,-528.3428368959059
12,-0.0950325,-3756.644417611683,-819.0117728500304,-37.33896745156544
12,-0.03967558,235097.520369801,18596.52397804111,368.4636128495061
12,0.03006016,58808.85131784383,-3535.562662149888,53.035121610613054
13,-0.09381483,157950.09935803365,29546.183792097847,1387.0803477030188
13,-0.00776188,128285.44071753252,1958.7798537921005,7.817654340823378
13,0.06641697,72615.58987226384,-9638.327241440042,319.64577821148634
14,-0.09668965,214307.27381121562,41335.28413538595,1998.4340734158502
14,-0.04186579,73154.02173801501,6075.48762345292,127.87496120054513
14,0.02589563,124075.19060346298,-6436.378813650634,82.8278942083575
15,-0.11311301,296399.4241447977,66928.41672617447,3784.5883948709024
15,-0.047025300000000006,89635.68700497788,8382.65183806535,198.05499335756767
15,0.0555138,145767.14919970598,-16184.734473409371,448.2842796548609
16,-0.04652805,126968.73064180916,11761.19218977648,274.1011144703405
16,0.04194163,121198.5804043631,-10170.921275181632,212.59693277461105
17,-0.10351321,97713.44057945539,20124.26342103496,1042.2119187831058
17,-0.05187146,151159.17777054937,15626.468642373477,405.5217278474761
17,0.03290307,100764.72995641624,-6635.778989371125,108.79921279092017
18,-0.08446755,208025.0882529507,35042.1730252352,1480.5613752048687
18,-0.00292019,145877.65117929678,822.1954029951233,1.1936633430796566
18,0.06760948,45562.9022633603,-6152.4656613441075,207.687718516593
19,-0.05726953,58402.578999620986,6608.553680889822,191.08480258835482
19,0.01326023,211003.42042348004,-5622.8493906219755,36.748463442615225
20,-0.04700668,132473.82393574883,12386.951774740122,292.12091439987273
20,0.02889479,152868.03229127097,-8844.468535801638,127.39614441088221
21,-0.05857062,8299.375501495884,890.8129261505726,28.22681522714212
21,0.00642338,239307.65133557183,-3106.1927688246337,9.421547679869503
21,0.08300745,19183.998227016287,-3164.9960232986305,131.10193201853244
22,-0.03600179,171392.8075012068,12280.217304872831,221.6423508413595
22,0.0491815,132524.20644551603,-13035.373537275847,319.97752908164233
23,-0.08759921,224598.73543739176,39248.22851156513,1719.5680977457328
23,-0.01628856,86047.36707540027,2764.189552338025,23.12610357248236
23,0.04770109,111814.88285920893,-10666.796981787586,253.93300719546653
24,-0.09745174,38857.18642767526,7467.107637030279,365.5604798880735
24,-0.04463547,179308.35824539076,15944.365578625006,356.1399388984225
24,0.02405404,89379.56907810243,-4308.801985907955,51.78393299446287
