trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
24,24,1,41,46,30,42,33,45,41,44,38,46,41
48,48,1,45,50,38,48,39,50,45,47,44,49,50
72,72,1,62,60,58,62,59,60,63,61,61,61,62
96,96,1,64,62,47,65,46,63,58,63,50,64,60
120,120,1,47,36,43,51,43,47,44,51,41,47,39
144,144,1,32,19,27,33,26,27,27,29,25,27,18
168,168,1,30,22,20,27,23,27,21,22,22,26,20
192,192,1,34,27,32,30,30,30,30,30,31,30,29
216,216,1,26,23,18,31,17,27,23,28,21,27,19
240,240,1,18,7,11,16,12,14,12,13,9,12,5
264,264,1,28,30,28,27,29,28,29,28,30,29,30
288,288,1,38,41,44,35,44,40,38,32,36,36,40
312,312,1,38,31,34,37,33,39,35,31,33,35,34
336,336,1,38,37,30,35,32,37,32,34,33,37,38
360,360,1,29,25,22,24,20,33,27,23,28,31,22
384,384,1,29,19,23,22,22,24,23,19,21,22,19
408,408,1,36,34,29,40,29,37,34,39,32,38,34
432,432,1,36,30,32,39,32,38,33,35,32,37,28
456,456,1,28,19,24,28,23,25,24,27,23,25,18
480,480,1,26,19,23,26,23,24,21,25,20,24,17
504,504,1,22,21,17,27,18,25,21,21,19,22,25
528,528,1,37,29,31,40,29,40,33,37,31,36,25
552,552,1,27,28,16,31,18,31,28,31,26,32,27
576,576,1,23,21,16,26,17,27,20,25,20,26,18
600,600,1,23,17,18,24,20,17,16,18,17,17,16
624,624,1,37,28,31,31,31,26,22,26,21,26,24
648,648,1,31,26,29,33,27,31,28,31,29,32,25
672,672,1,27,26,25,30,25,32,23,73,25,41,25
696,696,1,30,30,29,38,27,34,34,53,33,37,33
720,720,1,26,17,19,25,19,26,20,25,21,26,15
744,744,1,26,12,18,21,18,22,19,9,18,18,8
768,24,2,22,19,19,24,19,26,22,12,18,21,15
792,48,2,33,35,25,31,29,34,28,22,27,30,34
816,72,2,38,36,35,41,35,39,33,55,37,43,37
840,96,2,30,26,27,29,31,33,27,32,27,32,24
864,120,2,38,32,32,39,33,35,32,38,31,35,32
888,144,2,52,36,42,53,43,41,36,45,34,40,37
912,168,2,37,29,34,40,35,34,35,39,34,35,30
936,192,2,25,24,23,29,24,31,27,27,26,29,22
960,216,2,42,37,42,43,43,40,43,45,40,41,39
984,240,2,46,38,38,47,41,43,41,41,41,39,38
1008,264,2,31,31,31,38,29,35,33,35,33,34,29
1032,288,2,34,36,30,35,31,35,32,34,29,34,35
1056,312,2,37,36,30,38,30,41,41,37,36,38,37
1080,336,2,43,30,36,45,35,40,36,47,31,41,30
1104,360,2,28,25,27,31,26,30,29,30,28,29,25
1128,384,2,27,19,21,26,23,24,21,21,21,21,20
1152,408,2,35,27,32,35,33,29,33,35,30,31,29
1176,432,2,36,31,30,29,33,36,27,28,28,32,33
1200,456,2,36,35,31,37,31,42,40,38,36,39,33
1224,480,2,50,53,50,57,52,56,57,58,56,57,54
1248,504,2,42,36,41,46,42,42,41,43,36,41,35
1272,528,2,38,28,33,32,36,34,32,33,29,33,27
1296,552,2,36,33,33,42,36,41,37,38,35,38,36
1320,576,2,38,35,35,41,35,40,37,40,36,39,35
1344,600,2,32,29,31,32,31,35,30,33,28,34,28
1368,624,2,37,34,31,37,31,36,36,38,36,37,33
1392,648,2,28,27,28,33,30,35,33,29,34,32,34
1416,672,2,29,30,34,30,38,35,32,28,32,32,27
1440,696,2,55,41,37,54,40,49,43,48,43,49,37
1464,24,3,55,50,50,62,53,57,57,61,57,56,51
1488,48,3,59,49,54,61,56,58,56,63,52,58,45
1512,72,3,53,56,49,53,49,57,57,59,56,58,56
1536,96,3,49,55,46,58,46,61,55,60,52,61,52
1560,120,3,72,65,69,72,70,70,72,74,71,72,68
1584,144,3,56,49,52,60,51,56,56,58,53,56,47
1608,168,3,42,41,44,42,43,45,43,43,45,46,42
1632,192,3,41,35,39,38,39,37,35,32,34,37,35
