trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
12,12,1,54,47,49,54,50,55,51,54,47,55,41
36,24,1,49,50,44,55,44,52,48,53,45,52,51
60,36,1,59,62,53,63,57,62,62,63,62,63,65
84,48,1,66,63,60,70,63,67,68,69,66,68,69
108,60,1,67,57,53,71,46,66,52,67,46,65,49
132,72,1,44,34,40,45,40,41,43,45,39,42,34
156,84,1,29,20,24,29,24,27,27,29,26,27,21
180,96,1,37,27,31,35,32,34,34,35,32,35,27
204,108,1,31,28,30,32,31,32,32,33,30,32,27
228,120,1,19,14,11,21,12,20,18,21,17,19,12
252,132,1,27,17,19,25,20,22,24,26,23,22,19
276,144,1,46,44,38,46,41,46,48,50,46,47,48
300,156,1,49,45,46,52,44,51,52,53,51,52,48
324,168,1,36,32,25,38,24,36,34,37,33,37,33
348,180,1,32,34,21,42,20,44,35,38,35,43,33
372,192,1,28,22,21,32,22,32,27,32,27,32,19
396,204,1,34,28,28,36,29,37,34,38,33,37,24
420,216,1,41,39,38,41,38,40,38,38,40,41,43
444,228,1,31,24,27,34,28,33,31,34,29,34,24
468,240,1,28,22,27,30,28,28,28,31,27,29,22
492,252,1,28,21,24,29,26,28,27,29,27,28,19
516,264,1,45,39,38,46,37,45,43,44,41,44,38
540,276,1,28,20,21,31,20,30,25,29,25,30,18
564,288,1,36,40,21,46,20,49,29,44,27,45,31
588,300,1,20,16,15,25,17,22,19,21,18,22,14
612,312,1,35,23,23,29,25,22,20,22,19,21,21
636,324,1,41,30,35,30,35,29,26,29,26,29,25
660,336,1,31,23,28,30,28,28,29,28,28,28,24
684,348,1,40,35,33,44,33,42,39,67,37,48,35
708,360,1,36,31,23,49,22,43,29,46,27,42,29
732,372,1,28,15,19,28,19,24,25,27,24,25,15
756,12,2,30,19,24,30,24,29,29,20,26,26,16
780,24,2,42,26,31,38,35,34,36,26,31,32,21
804,36,2,50,35,43,49,43,38,35,30,34,34,34
828,48,2,43,36,39,44,40,43,43,34,41,42,36
852,60,2,39,34,34,38,35,37,35,38,32,36,29
876,72,2,60,35,50,63,52,43,33,46,32,38,36
900,84,2,47,37,45,53,46,45,47,53,44,46,39
924,96,2,36,30,30,38,31,37,35,40,33,37,29
948,108,2,45,31,40,44,42,41,46,49,41,44,33
972,120,2,46,42,44,46,46,47,45,49,44,47,42
996,132,2,44,37,38,47,40,44,43,47,38,45,36
1020,144,2,39,33,35,36,35,34,37,40,36,36,35
1044,156,2,46,40,40,48,42,48,48,52,45,49,40
1068,168,2,49,43,42,49,44,50,50,53,46,50,42
1092,180,2,45,36,36,44,37,42,42,43,39,42,36
1116,192,2,33,25,27,31,28,29,28,31,27,29,24
1140,204,2,38,29,33,35,35,30,34,35,32,31,32
1164,216,2,38,37,34,39,35,40,40,41,39,41,34
1188,228,2,50,48,48,51,49,53,54,52,53,53,51
1212,240,2,57,49,46,61,46,60,56,62,52,59,50
1236,252,2,64,46,53,62,54,58,58,64,55,57,44
1260,264,2,45,38,42,47,43,46,45,50,42,47,38
1284,276,2,48,37,40,46,42,43,44,45,41,44,35
1308,288,2,50,41,44,52,46,48,46,50,42,48,40
1332,300,2,39,38,35,41,36,43,39,43,37,43,36
1356,312,2,38,33,36,38,37,35,36,38,34,36,33
1380,324,2,44,41,38,43,38,44,45,46,42,45,42
1404,336,2,47,45,44,47,47,51,50,50,49,51,42
1428,348,2,60,51,56,61,58,60,58,62,57,61,48
1452,12,3,63,54,56,64,58,61,62,66,59,62,56
1476,24,3,68,61,60,67,60,65,66,70,66,66,65
1500,36,3,62,57,57,63,59,64,62,65,61,64,57
1524,48,3,71,67,55,76,52,74,65,79,57,76,65
1548,60,3,72,64,53,77,55,70,63,78,56,72,64
1572,72,3,66,60,62,68,62,63,64,64,63,64,61
1596,84,3,56,51,53,56,53,57,56,59,54,58,52
1620,96,3,49,41,45,51,45,49,47,52,46,49,41
